datetime,open,high,low,close,volume
2006-01-02,0.7329,0.7354,0.7322,0.7338,0
2006-01-03,0.7335,0.7416,0.7314,0.7402,0
2006-01-04,0.7405,0.7487,0.74,0.7474,0
2006-01-05,0.7474,0.7487,0.7443,0.7475,0
2006-01-06,0.7476,0.7555,0.7451,0.755,0
2006-01-09,0.7531,0.7547,0.7501,0.7539,0
2006-01-10,0.7538,0.7541,0.7479,0.7495,0
2006-01-11,0.7493,0.7569,0.7486,0.7555,0
2006-01-12,0.7552,0.7567,0.7496,0.7509,0
2006-01-13,0.7507,0.756,0.7498,0.755,0
2006-01-16,0.756,0.7579,0.7531,0.7541,0
2006-01-17,0.7541,0.7559,0.7504,0.7528,0
2006-01-18,0.753,0.7531,0.7459,0.7472,0
2006-01-19,0.7473,0.7487,0.7443,0.7475,0
2006-01-20,0.7477,0.7502,0.7463,0.748,0
2006-01-23,0.7494,0.7546,0.7482,0.7533,0
2006-01-24,0.7533,0.7544,0.7486,0.7511,0
2006-01-25,0.7508,0.7559,0.7505,0.7533,0
2006-01-26,0.7532,0.7563,0.7505,0.7511,0
2006-01-27,0.7514,0.7546,0.749,0.749,0
2006-01-30,0.7491,0.7517,0.7478,0.7493,0
2006-01-31,0.7493,0.759,0.7483,0.7585,0
2006-02-01,0.758,0.7585,0.7524,0.7531,0
2006-02-02,0.7531,0.7557,0.7505,0.7536,0
2006-02-03,0.7535,0.754,0.7475,0.7486,0
2006-02-06,0.7487,0.7496,0.7411,0.742,0
2006-02-07,0.7418,0.7451,0.7391,0.7399,0
2006-02-08,0.7399,0.7415,0.7362,0.7387,0
2006-02-09,0.7387,0.7422,0.738,0.7404,0
2006-02-10,0.7407,0.744,0.7368,0.7386,0
2006-02-13,0.7365,0.7401,0.7362,0.7375,0
2006-02-14,0.7375,0.7423,0.7357,0.7417,0
2006-02-15,0.7419,0.7445,0.7372,0.7391,0
2006-02-16,0.7392,0.7396,0.7362,0.739,0
2006-02-17,0.7389,0.7419,0.7347,0.7396,0
2006-02-20,0.7395,0.7419,0.7383,0.7408,0
2006-02-21,0.7408,0.7414,0.7369,0.7384,0
2006-02-22,0.7384,0.7397,0.7343,0.736,0
2006-02-23,0.7361,0.7424,0.7343,0.7383,0
2006-02-24,0.7386,0.7417,0.7379,0.7392,0
2006-02-27,0.7386,0.74,0.7364,0.7378,0
2006-02-28,0.7378,0.744,0.736,0.7425,0
